date	location	variant	median_I	I_upper_95	I_lower_95	I_upper_80	I_lower_80	I_upper_50	I_lower_50
2021-11-12	King County	probable Delta	387.0	441.0	334.0	422.0	353.0	406.0	370.0
2021-11-13	King County	probable Delta	387.0	441.0	335.0	423.0	354.0	406.0	370.0
2021-11-14	King County	probable Delta	387.0	443.0	336.0	423.0	354.0	406.0	370.0
2021-11-15	King County	probable Delta	384.0	438.0	333.0	418.0	350.0	402.0	366.0
2021-11-16	King County	probable Delta	362.0	411.0	315.0	392.0	330.0	379.0	346.0
2021-11-17	King County	probable Delta	330.0	374.0	289.0	356.0	301.0	340.0	311.0
2021-11-18	King County	probable Delta	322.0	376.0	284.0	351.0	293.0	335.0	305.0
2021-11-19	King County	probable Delta	340.0	399.0	296.0	371.0	306.0	351.0	319.0
2021-11-20	King County	probable Delta	334.0	388.0	292.0	366.0	304.0	344.0	313.0
2021-11-21	King County	probable Delta	281.0	321.0	241.0	307.0	255.0	291.0	264.0
2021-11-22	King County	probable Delta	201.0	233.0	173.0	220.0	181.0	209.0	189.0
2021-11-23	King County	probable Delta	128.0	150.0	109.0	140.0	114.0	134.0	121.0
2021-11-24	King County	probable Delta	74.0	86.0	62.0	81.0	66.0	77.0	69.0
2021-11-25	King County	probable Delta	40.0	47.0	33.0	44.0	36.0	42.0	38.0
2021-11-26	King County	probable Delta	23.0	28.0	19.0	26.0	20.0	24.0	21.0
2021-11-27	King County	probable Delta	34.0	46.0	24.0	40.0	27.0	37.0	30.0
2021-11-28	King County	probable Delta	110.0	143.0	78.0	131.0	89.0	117.0	94.0
2021-11-29	King County	probable Delta	249.0	317.0	190.0	289.0	207.0	266.0	223.0
2021-11-30	King County	probable Delta	365.0	453.0	285.0	419.0	313.0	385.0	330.0
2021-12-01	King County	probable Delta	393.0	478.0	311.0	446.0	339.0	422.0	368.0
2021-12-02	King County	probable Delta	356.0	432.0	283.0	402.0	307.0	380.0	333.0
2021-12-03	King County	probable Delta	308.0	388.0	248.0	350.0	262.0	321.0	277.0
2021-12-04	King County	probable Delta	283.0	374.0	218.0	326.0	230.0	301.0	250.0
2021-12-05	King County	probable Delta	284.0	385.0	205.0	338.0	227.0	311.0	252.0
2021-12-06	King County	probable Delta	298.0	409.0	210.0	358.0	236.0	325.0	260.0
2021-12-07	King County	probable Delta	307.0	423.0	216.0	370.0	242.0	336.0	268.0
2021-12-08	King County	probable Delta	300.0	409.0	200.0	360.0	232.0	328.0	259.0
2021-12-09	King County	probable Delta	276.0	387.0	185.0	332.0	209.0	301.0	236.0
2021-12-10	King County	probable Delta	244.0	347.0	163.0	298.0	183.0	274.0	214.0
