seqName	clade	Nextclade_pango	partiallyAliased
BF.20	22B (Omicron)	BF.20	BA.5.2.1.20
BF.21	22B (Omicron)	BF.21	BA.5.2.1.21
BF.22	22B (Omicron)	BF.22	BA.5.2.1.22
BF.23	22B (Omicron)	BF.23	BA.5.2.1.23
BF.24	22B (Omicron)	BF.24	BA.5.2.1.24
BG.1	22C (Omicron)	BG.1	BA.2.12.1.1
BG.2	22C (Omicron)	BG.2	BA.2.12.1.2
BG.3	22C (Omicron)	BG.3	BA.2.12.1.3
BG.4	22C (Omicron)	BG.4	BA.2.12.1.4
BG.5	22C (Omicron)	BG.5	BA.2.12.1.5
BG.6	22C (Omicron)	BG.6	BA.2.12.1.6
BH.1	21L (Omicron)	BH.1	BA.2.38.3.1
BJ.1	21L (Omicron)	BJ.1	BA.2.10.1.1
BK.1	22B (Omicron)	BK.1	BA.5.1.10.1
BL.1	22D (Omicron)	BL.1	BA.2.75.1.1
BL.1.1	22D (Omicron)	BL.1.1	BA.2.75.1.1.1
BL.1.2	22D (Omicron)	BL.1.2	BA.2.75.1.1.2
BL.2	22D (Omicron)	BL.2	BA.2.75.1.2
BL.3	22D (Omicron)	BL.3	BA.2.75.1.3
BL.4	22D (Omicron)	BL.4	BA.2.75.1.4
BM.1	22D (Omicron)	BM.1	BA.2.75.3.1
BM.1.1	22D (Omicron)	BM.1.1	BA.2.75.3.1.1
BM.1.1.1	22D (Omicron)	BM.1.1.1	BA.2.75.3.1.1.1
BM.2	22D (Omicron)	BM.2	BA.2.75.3.2
BM.3	22D (Omicron)	BM.3	BA.2.75.3.3
BM.4	22D (Omicron)	BM.4	BA.2.75.3.4
BM.4.1	22D (Omicron)	BM.4.1	BA.2.75.3.4.1
BM.4.1.1	22D (Omicron)	BM.4.1.1	BA.2.75.3.4.1.1
BM.5	22D (Omicron)	BM.5	BA.2.75.3.5
BN.1	22D (Omicron)	BN.1	BA.2.75.5.1
BN.2	22D (Omicron)	BN.2	BA.2.75.5.2
BN.2.1	22D (Omicron)	BN.2.1	BA.2.75.5.2.1
BP.1	21L (Omicron)	BP.1	BA.2.3.16.1
BQ.1	22E (Omicron)	BQ.1	BA.5.3.1.1.1.1.1
BQ.1.1	22E (Omicron)	BQ.1.1	BA.5.3.1.1.1.1.1.1
BR.1	22D (Omicron)	BR.1	BA.2.75.4.1
BS.1	21L (Omicron)	BS.1	BA.2.3.2.1
BT.1	22B (Omicron)	BT.1	BA.5.1.21.1
BU.1	22B (Omicron)	BU.1	BA.5.2.16.1
BV.1	22B (Omicron)	BV.1	BA.5.2.20.1
BW.1	22B (Omicron)	BW.1	BA.5.6.2.1
BY.1	22D (Omicron)	BY.1	BA.2.75.6.1
BZ.1	22B (Omicron)	BZ.1	BA.5.2.3.1
XAA	recombinant	XAA	XAA
XAB	recombinant	XAB	XAB
XAC	recombinant	XAC	XAC
XAD	recombinant	XAD	XAD
XAE	recombinant	XAE	XAE
XAF	recombinant	XAF	XAF
XAG	recombinant	XAG	XAG
XAH	recombinant	XAH	XAH
XAJ	recombinant	XAJ	XAJ
XAK	recombinant	XAK	XAK
XAL	recombinant	XAL	XAL
XAM	recombinant	XAM	XAM
XAN	recombinant	XAN	XAN
XAP	recombinant	XAP	XAP
XAQ	recombinant	XAQ	XAQ
XAR	recombinant	XAR	XAR
XAS	recombinant	XAS	XAS
XAT	recombinant	XAT	XAT
XAU	recombinant	XAU	XAU
XAV	recombinant	XAV	XAV
XAW	recombinant	XAW	XAW
XAY	recombinant	XAY	XAY
XAZ	recombinant	XAZ	XAZ
XBA	recombinant	XBA	XBA
XBB	recombinant	XBB	XBB
XC	recombinant	XBA	XBA
XD	recombinant	XBA	XBA
XE	recombinant	XE	XE
XF	recombinant	XP	XP
XG	recombinant	XG	XG
XH	recombinant	XH	XH
XJ	recombinant	XJ	XJ
XK	recombinant	XK	XK
XL	recombinant	XL	XL
XM	recombinant	XM	XM
XN	recombinant	XN	XN
XP	recombinant	XP	XP
XQ	recombinant	XQ	XQ
XR	recombinant	XR	XR
XS	recombinant	XP	XP
XT	recombinant	XT	XT
XU	recombinant	XU	XU
XV	recombinant	XV	XV
XW	recombinant	XW	XW
XY	recombinant	XY	XY
XZ	recombinant	XZ	XZ
